Item,ItemName,ItemInfo,ItemID
"Mountain-200 Black, 42",Mountain-200 Black,42,1
"Touring-1000 Yellow, 46",Touring-1000 Yellow,46,2
"Touring-1000 Blue, 54",Touring-1000 Blue,54,3
"Short-Sleeve Classic Jersey, S",Short-Sleeve Classic Jersey,S,4
"Women's Mountain Shorts, S",Women's Mountain Shorts,S,5
"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,L,6
"Mountain-400-W Silver, 42",Mountain-400-W Silver,42,7
"Racing Socks, M",Racing Socks,M,8
"Mountain-100 Silver, 42",Mountain-100 Silver,42,9
"Mountain-200 Silver, 42",Mountain-200 Silver,42,10
